valid_month,metric,lead_days,rain_group,n_forecasts,n_valid_days,mae_c,bias_c
7,Tmax,2,at_least_10_mm,32,32,1.066,0.266
7,Tmax,2,under_10_mm,92,92,0.914,-0.425
7,Tmax,3,at_least_10_mm,32,32,1.078,0.422
7,Tmax,3,under_10_mm,92,92,1.079,-0.675
7,Tmax,4,at_least_10_mm,32,32,1.147,0.453
7,Tmax,4,under_10_mm,92,92,1.145,-0.784
7,Tmax,5,at_least_10_mm,32,32,1.291,0.516
7,Tmax,5,under_10_mm,92,92,1.171,-0.816
7,Tmax,6,at_least_10_mm,32,32,1.384,0.547
7,Tmax,6,under_10_mm,92,92,1.273,-0.968
7,Tmax,7,at_least_10_mm,32,32,1.416,0.609
7,Tmax,7,under_10_mm,92,92,1.338,-1.11
7,Tmax,8,at_least_10_mm,32,32,1.541,0.703
7,Tmax,8,under_10_mm,92,92,1.458,-1.164
7,Tmax,9,at_least_10_mm,32,32,1.791,0.828
7,Tmax,9,under_10_mm,92,92,1.573,-1.229
7,Tmin,1,at_least_10_mm,32,32,0.787,0.475
7,Tmin,1,under_10_mm,92,92,0.716,-0.471
7,Tmin,2,at_least_10_mm,32,32,0.925,0.569
7,Tmin,2,under_10_mm,92,92,0.792,-0.482
7,Tmin,3,at_least_10_mm,32,32,0.975,0.662
7,Tmin,3,under_10_mm,92,92,0.862,-0.59
7,Tmin,4,at_least_10_mm,32,32,1.038,0.787
7,Tmin,4,under_10_mm,92,92,0.91,-0.655
7,Tmin,5,at_least_10_mm,32,32,1.075,0.912
7,Tmin,5,under_10_mm,92,92,0.901,-0.666
7,Tmin,6,at_least_10_mm,32,32,1.137,1.038
7,Tmin,6,under_10_mm,92,92,0.895,-0.677
7,Tmin,7,at_least_10_mm,32,32,1.131,1.006
7,Tmin,7,under_10_mm,92,92,0.884,-0.634
7,Tmin,8,at_least_10_mm,32,32,1.2,1.069
7,Tmin,8,under_10_mm,92,92,0.892,-0.623
7,Tmin,9,at_least_10_mm,32,32,1.262,1.131
7,Tmin,9,under_10_mm,92,92,0.905,-0.612
8,Tmax,1,at_least_10_mm,31,31,0.929,0.123
8,Tmax,1,under_10_mm,93,93,0.901,-0.4
8,Tmax,2,at_least_10_mm,31,31,0.929,0.058
8,Tmax,2,under_10_mm,93,93,0.927,-0.465
8,Tmax,3,at_least_10_mm,31,31,1.045,0.348
8,Tmax,3,under_10_mm,93,93,1.002,-0.572
8,Tmax,4,at_least_10_mm,31,31,1.116,0.606
8,Tmax,4,under_10_mm,93,93,1.052,-0.658
8,Tmax,5,at_least_10_mm,31,31,1.194,0.703
8,Tmax,5,under_10_mm,93,93,1.178,-0.809
8,Tmax,6,at_least_10_mm,31,31,1.258,0.832
8,Tmax,6,under_10_mm,93,93,1.2,-0.83
8,Tmax,7,at_least_10_mm,31,31,1.484,0.994
8,Tmax,7,under_10_mm,93,93,1.135,-0.766
8,Tmax,8,at_least_10_mm,31,31,1.606,1.219
8,Tmax,8,under_10_mm,93,93,1.26,-0.798
8,Tmax,9,at_least_10_mm,31,31,1.735,1.348
8,Tmax,9,under_10_mm,93,93,1.26,-0.787
8,Tmin,1,at_least_10_mm,31,31,0.706,0.552
8,Tmin,1,under_10_mm,93,93,0.675,-0.37
8,Tmin,2,at_least_10_mm,31,31,0.926,0.81
8,Tmin,2,under_10_mm,93,93,0.69,-0.273
8,Tmin,3,at_least_10_mm,31,31,1.023,0.906
8,Tmin,3,under_10_mm,93,93,0.697,-0.252
8,Tmin,4,at_least_10_mm,31,31,1.087,0.971
8,Tmin,4,under_10_mm,93,93,0.705,-0.262
8,Tmin,5,at_least_10_mm,31,31,1.216,1.1
8,Tmin,5,under_10_mm,93,93,0.759,-0.252
8,Tmin,6,at_least_10_mm,31,31,1.326,1.261
8,Tmin,6,under_10_mm,93,93,0.74,-0.198
8,Tmin,7,at_least_10_mm,31,31,1.552,1.487
8,Tmin,7,under_10_mm,93,93,0.742,-0.176
8,Tmin,8,at_least_10_mm,31,31,1.719,1.713
8,Tmin,8,under_10_mm,93,93,0.729,-0.058
8,Tmin,9,at_least_10_mm,31,31,1.842,1.842
8,Tmin,9,under_10_mm,93,93,0.746,-0.037
9,Tmax,1,at_least_10_mm,31,31,1.313,0.332
9,Tmax,1,under_10_mm,89,89,0.879,-0.299
9,Tmax,2,at_least_10_mm,31,31,1.539,0.752
9,Tmax,2,under_10_mm,89,89,1.027,-0.524
9,Tmax,3,at_least_10_mm,31,31,1.765,0.848
9,Tmax,3,under_10_mm,89,89,1.256,-0.748
9,Tmax,4,at_least_10_mm,31,31,2.023,1.074
9,Tmax,4,under_10_mm,89,89,1.31,-0.894
9,Tmax,5,at_least_10_mm,31,31,2.023,1.203
9,Tmax,5,under_10_mm,89,89,1.404,-0.962
9,Tmax,6,at_least_10_mm,31,31,2.184,1.365
9,Tmax,6,under_10_mm,89,89,1.461,-1.029
9,Tmax,7,at_least_10_mm,31,31,2.294,1.59
9,Tmax,7,under_10_mm,89,89,1.618,-1.097
9,Tmax,8,at_least_10_mm,31,31,2.229,1.526
9,Tmax,8,under_10_mm,89,89,1.787,-1.198
9,Tmax,9,at_least_10_mm,31,31,2.287,1.59
9,Tmax,9,under_10_mm,89,89,1.863,-1.265
9,Tmin,1,at_least_10_mm,31,31,0.929,0.606
